drug_id,cell_line,gene_symbol,log2fc,pvalue
Camptothecin,A549,TP53,-0.3664755675218616,0.32235130703350934
Camptothecin,A549,EGFR,0.09767323627348641,0.476094861885165
Camptothecin,A549,MYC,-0.2779724488873087,0.402512829742059
Camptothecin,A549,BRAF,-0.0638674142319429,0.46449204012580325
Camptothecin,A549,KRAS,-0.7802785362186345,0.2296325116114786
Camptothecin,A549,PIK3CA,1.0001740445530518,0.1669732898869181
Camptothecin,A549,PTEN,0.07491685816979893,0.4695237544826745
Camptothecin,A549,MAPK1,0.07045368403566092,0.46140715411549416
Camptothecin,A549,AKT1,0.1772097925598312,0.42055137495794565
Camptothecin,A549,STAT3,-0.9401562942262782,0.20320308416569352
Camptothecin,A549,CDK1,0.6051993165683194,0.251581389397729
Camptothecin,A549,CDKN1A,-0.0756179827461146,0.47719453728700834
Camptothecin,A549,RB1,-0.3827546829036693,0.32249834551046447
Camptothecin,A549,NFkB1,0.21115688083203227,0.43656007898107063
Camptothecin,A549,ERBB2,-0.6539571498346876,0.26531932910440525
Camptothecin,A549,MTOR,0.384892564820165,0.31909543285785413
Camptothecin,A549,JUN,-1.354751133874159,0.10129648853724743
Camptothecin,A549,FOS,-1.9733498568344983,0.0588223767427187
Camptothecin,A549,HIF1A,0.41585428848792366,0.3082547778734132
Camptothecin,A549,VEGFA,2.4089728561743007,0.06062235555706008
Camptothecin,A549,GENE001,0.8277308126894606,0.18756632455134242
Camptothecin,A549,GENE002,-0.23146271103182411,0.40704295559589954
Camptothecin,A549,GENE003,-0.34000216705897124,0.33719642419668616
Camptothecin,A549,GENE004,-0.13170292243363654,0.44247698267061913
Camptothecin,A549,GENE005,1.65441242265027,0.09190374342740029
Camptothecin,A549,GENE006,-0.21002373231375807,0.43606858828204076
Camptothecin,A549,GENE007,0.06960205547840807,0.5042692294159712
Camptothecin,A549,GENE008,0.0009068055973381154,0.526425084980955
Camptothecin,A549,GENE009,0.3779676408958262,0.35187893264386794
Camptothecin,A549,GENE010,-1.271661296707443,0.15591505261873445
Camptothecin,A549,GENE011,0.17203406570101118,0.4467846415249914
Camptothecin,A549,GENE012,0.4631162714425169,0.32068235558349933
Camptothecin,A549,GENE013,-0.5172011782428423,0.30935996043393915
Camptothecin,A549,GENE014,0.10214147100066437,0.4833540664928685
Camptothecin,A549,GENE015,0.5685087093167288,0.2853234271002654
Camptothecin,A549,GENE016,0.22344507238703384,0.39273682994026266
Camptothecin,A549,GENE017,-0.44153932923976674,0.31321041330201554
Camptothecin,A549,GENE018,-0.34968902419824105,0.3305941847973579
Camptothecin,A549,GENE019,-0.771862701345948,0.2308070864480724
